id,Runs_Scored,Extra_runs,id,Bowler,Striker,strike_position,playerout,wickets,matchdatesk,bowlingteamsk,battingteamsk,matchdate,total_runs,high_runs,bat_skill,bat_Experience,cumulative_overs,bowl_skill,bowl_experience,innings,striker_dob,bowler_dob,matchyear,striker_age,bowler_age,is2017,2013,over,spin,BowlerType,batting_hand
"501231,1,07",3,0,"501231,1,07",235,185,1.0,0,0,20110425,9,2,4/25/2011,3,False,55.0,357.0,0,42.0,155.0,1,1980,1991,2011,31,20,0,0,7,1,off_spin,Right-hand bat
"829758,2,08",2,4,"829758,2,08",201,185,1.0,1,0,20150425,2,3,4/25/2015,6,False,55.0,357.0,0,100.0,383.0,2,1980,1984,2015,35,31,0,0,8,1,off_spin,Right-hand bat
"734014,1,11",2,0,"734014,1,11",276,57,4.0,0,0,20140514,0,6,5/14/2014,2,False,114.0,562.0,0,47.0,155.0,1,1975,1983,2014,39,31,0,0,11,1,off_spin,Right-hand bat
"336028,1,01",8,2,"336028,1,01",15,74,1.0,0,0,20080517,1,4,5/17/2008,10,False,27.0,130.0,0,106.0,371.0,1,1985,1970,2008,23,38,0,0,1,0,pace,Left-hand bat
"501262,2,06",16,1,"501262,2,06",234,183,1.0,0,0,20110515,3,5,5/15/2011,17,True,38.0,201.0,1,13.0,47.0,2,1974,1987,2011,37,24,0,0,6,0,pace,Right-hand bat
"501214,1,19",8,3,"501214,1,19",151,192,6.0,0,0,20110415,0,4,4/15/2011,11,False,10.0,60.0,0,76.0,256.0,1,1979,1990,2011,32,21,0,0,19,0,pace,Right-hand bat
"501257,1,02",10,0,"501257,1,02",270,32,1.0,0,0,20110511,1,4,5/11/2011,10,False,69.0,293.0,0,41.0,128.0,1,1980,1987,2011,31,24,0,0,2,0,pace,Right-hand bat
"734018,1,01",7,0,"734018,1,01",121,147,1.0,0,0,20140518,1,2,5/18/2014,7,False,73.0,309.0,0,63.0,256.0,1,1987,1977,2014,27,37,0,0,1,1,off_spin,Right-hand bat
"548353,1,07",3,0,"548353,1,07",299,26,4.0,0,0,20120501,9,7,5/1/2012,3,False,45.0,251.0,0,98.0,333.0,1,1981,1984,2012,31,28,0,0,7,0,pace,Left-hand bat
"829786,1,20",13,0,"829786,1,20",299,67,9.0,0,0,20150504,10,0,5/4/2015,13,True,12.0,68.0,1,98.0,333.0,1,1981,1984,2015,34,31,0,0,20,0,pace,Left-hand bat
"729314,1,18",5,1,"729314,1,18",267,221,6.0,0,0,20140427,5,6,4/27/2014,6,False,66.0,239.0,0,29.0,97.0,1,1986,1978,2014,28,36,0,0,18,0,pace,Right-hand bat
